corpus_name,canonical_author_id,name_script,source,confidence,status
Angela Gruber,angela_gruber,EN,spreadsheet_exact,1.0,accepted
Angie Hsu,angie_hsu,EN,spreadsheet_exact,1.0,accepted
Anna Lekas Miller,anna_lekas_miller,EN,spreadsheet_exact,1.0,accepted
Anna Momigliano,anna_momigliano,EN,spreadsheet_exact,1.0,accepted
Anna Rose Siegel,anna_rose_siegel,EN,spreadsheet_exact,1.0,accepted
Anne Irfan,anne_irfan,EN,spreadsheet_exact,1.0,accepted
Anne Paq,anne_paq,EN,spreadsheet_exact,1.0,accepted
Anselm Kiersch,anselm_kiersch,EN,spreadsheet_exact,1.0,accepted
Antwan I. Saca,antwan_i_saca,EN,spreadsheet_exact,1.0,accepted
Anwar Ben Badis,anwar_ben_badis,EN,spreadsheet_exact,1.0,accepted
Anwar Mhajne,anwar_mhajne,EN,spreadsheet_exact,1.0,accepted
Arash Azizi,arash_azizi,EN,spreadsheet_exact,1.0,accepted
Ari Miller,ari_miller,EN,spreadsheet_exact,1.0,accepted
Ari Remez,ari_remez,EN,spreadsheet_exact,1.0,accepted
Arianna Skibell,arianna_skibell,EN,spreadsheet_exact,1.0,accepted
Ariel Bardi,ariel_bardi,EN,spreadsheet_exact,1.0,accepted
Ariella Azoulay,ariella_azoulay,EN,spreadsheet_exact,1.0,accepted
Arik Segal,arik_segal,EN,spreadsheet_exact,1.0,accepted
Arnon Degani,arnon_degani,EN,spreadsheet_exact,1.0,accepted
Aron Keller,aron_keller,EN,spreadsheet_exact,1.0,accepted
Aryeh Cohen,aryeh_cohen,EN,spreadsheet_exact,1.0,accepted
Asaf Calderon,asaf_calderon,EN,spreadsheet_exact,1.0,accepted
Asaf Marziano,asaf_marziano,EN,spreadsheet_exact,1.0,accepted
Asaf Shalev,asaf_shalev,EN,spreadsheet_exact,1.0,accepted
Asaf Weitzen,asaf_weitzen,EN,spreadsheet_exact,1.0,accepted
Asher Kaufman,asher_kaufman,EN,spreadsheet_exact,1.0,accepted
Ashraf Ghandour,ashraf_ghandour,EN,spreadsheet_exact,1.0,accepted
Ashraf al-Ajrami,ashraf_al_ajrami,EN,spreadsheet_exact,1.0,accepted
Asma Agbariyeh-Zahalka,asma_agbariyeh_zahalka,EN,spreadsheet_exact,1.0,accepted
Assaf Adiv,assaf_adiv,EN,spreadsheet_exact,1.0,accepted
Assaf Oron,assaf_oron,EN,spreadsheet_exact,1.0,accepted
Atty. Jonathan J. Klinger,atty_jonathan_j_klinger,EN,spreadsheet_exact,1.0,accepted
Aurélie Daher,aurélie_daher,EN,spreadsheet_exact,1.0,accepted
Avi Belcherman,avi_belcherman,EN,spreadsheet_exact,1.0,accepted
Avi Blecherman,avi_blecherman,EN,spreadsheet_exact,1.0,accepted
Avi Dabush,avi_dabush,EN,spreadsheet_exact,1.0,accepted
Aviad Kleinberg,aviad_kleinberg,EN,spreadsheet_exact,1.0,accepted
Avihai Stollar,avihai_stollar,EN,spreadsheet_exact,1.0,accepted
Avital Burg,avital_burg,EN,spreadsheet_exact,1.0,accepted
Aviv Tatarsky,aviv_tatarsky,EN,spreadsheet_exact,1.0,accepted
Avner Gvaryahu,avner_gvaryahu,EN,spreadsheet_exact,1.0,accepted
Awad Abdelfattah,awad_abdelfattah,EN,spreadsheet_exact,1.0,accepted
Awdah Hathaleen,awdah_hathaleen,EN,spreadsheet_exact,1.0,accepted
Awdah al-Hathalean,awdah_al_hathalean,EN,spreadsheet_exact,1.0,accepted
Awni Farhat,awni_farhat,EN,spreadsheet_exact,1.0,accepted
Aya Zinatey,aya_zinatey,EN,spreadsheet_exact,1.0,accepted
Ayla Peggy Adler,ayla_peggy_adler,EN,spreadsheet_exact,1.0,accepted
Aylin Gurzel,aylin_gurzel,EN,spreadsheet_exact,1.0,accepted
Aziz Abu Sarah,aziz_abu_sarah,EN,spreadsheet_exact,1.0,accepted
B.G. Silver*,b_g_silver,EN,spreadsheet_exact,1.0,accepted
B.N.*,b_n,EN,spreadsheet_exact,1.0,accepted
Badia Dweik,badia_dweik,EN,spreadsheet_exact,1.0,accepted
Baker Zoubi,baker_zoubi,EN,spreadsheet_exact,1.0,accepted
Bar Gissin,bar_gissin,EN,spreadsheet_exact,1.0,accepted
Basel Adra,basel_adra,EN,spreadsheet_exact,1.0,accepted
Basel Yazouri,basel_yazouri,EN,spreadsheet_exact,1.0,accepted
Bassam Almohor,bassam_almohor,EN,spreadsheet_exact,1.0,accepted
Bassam Aramin,bassam_aramin,EN,spreadsheet_exact,1.0,accepted
Batya Kallus,batya_kallus,EN,spreadsheet_exact,1.0,accepted
Ben Avishai,ben_avishai,EN,spreadsheet_exact,1.0,accepted
Ben Elkind,ben_elkind,EN,spreadsheet_exact,1.0,accepted
Ben Lorber,ben_lorber,EN,spreadsheet_exact,1.0,accepted
Ben Pakman,ben_pakman,EN,spreadsheet_exact,1.0,accepted
Ben Reiff,ben_reiff,EN,spreadsheet_exact,1.0,accepted
Ben Ronen,ben_ronen,EN,spreadsheet_exact,1.0,accepted
Ben Toren,ben_toren,EN,spreadsheet_exact,1.0,accepted
Ben White,ben_white,EN,spreadsheet_exact,1.0,accepted
Benjamin Birely,benjamin_birely,EN,spreadsheet_exact,1.0,accepted
Benjamin L. Mandel,benjamin_l_mandel,EN,spreadsheet_exact,1.0,accepted
Bernard Avishai,bernard_avishai,EN,spreadsheet_exact,1.0,accepted
Bettina Birmans,bettina_birmans,EN,spreadsheet_exact,1.0,accepted
Betty Herschman,betty_herschman,EN,spreadsheet_exact,1.0,accepted
Blair Nodelman,blair_nodelman,EN,spreadsheet_exact,1.0,accepted
Brad Parker,brad_parker,EN,spreadsheet_exact,1.0,accepted
Brad Rothschild,brad_rothschild,EN,spreadsheet_exact,1.0,accepted
Bram Wispelwey,bram_wispelwey,EN,spreadsheet_exact,1.0,accepted
Brant Rosen,brant_rosen,EN,spreadsheet_exact,1.0,accepted
Brent E. Sasley,brent_e_sasley,EN,spreadsheet_exact,1.0,accepted
Caroline Beck,caroline_beck,EN,spreadsheet_exact,1.0,accepted
Catherine Rottenberg,catherine_rottenberg,EN,spreadsheet_exact,1.0,accepted
Charalampos Tsitsopoulos,charalampos_tsitsopoulos,EN,spreadsheet_exact,1.0,accepted
Chemi Shiff,chemi_shiff,EN,spreadsheet_exact,1.0,accepted
Chibli Mallat,chibli_mallat,EN,spreadsheet_exact,1.0,accepted
Christa Blackmon,christa_blackmon,EN,spreadsheet_exact,1.0,accepted
Christiane Marie Abu-Sarah,christiane_marie_abu_sarah,EN,spreadsheet_exact,1.0,accepted
Christina Hazboun,christina_hazboun,EN,spreadsheet_exact,1.0,accepted
Cody O’Rourke,cody_o_rourke,EN,spreadsheet_exact,1.0,accepted
Corey Sherman,corey_sherman,EN,spreadsheet_exact,1.0,accepted
Craig D. Smith,craig_d_smith,EN,spreadsheet_exact,1.0,accepted
